job_0: TOTAL: 1066, ACCEPT: 400(37.52%), REJECT: 351(32.93%), RESERVE: 315(29.55%)
job_743: TOTAL: 295, ACCEPT: 129(43.73%), REJECT: 85(28.81%), RESERVE: 81(27.46%)
job_744: TOTAL: 931, ACCEPT: 402(43.18%), REJECT: 275(29.54%), RESERVE: 254(27.28%)
job_745: TOTAL: 213, ACCEPT: 50(23.47%), REJECT: 74(34.74%), RESERVE: 89(41.78%)
job_746: TOTAL: 224, ACCEPT: 70(31.25%), REJECT: 92(41.07%), RESERVE: 62(27.68%)
job_747: TOTAL: 1088, ACCEPT: 453(41.64%), REJECT: 296(27.21%), RESERVE: 339(31.16%)
job_748: TOTAL: 659, ACCEPT: 269(40.82%), REJECT: 170(25.80%), RESERVE: 220(33.38%)
job_749: TOTAL: 867, ACCEPT: 332(38.29%), REJECT: 235(27.10%), RESERVE: 300(34.60%)
job_750: TOTAL: 734, ACCEPT: 345(47.00%), REJECT: 163(22.21%), RESERVE: 226(30.79%)
job_751: TOTAL: 127, ACCEPT: 24(18.90%), REJECT: 59(46.46%), RESERVE: 44(34.65%)
job_752: TOTAL: 878, ACCEPT: 384(43.74%), REJECT: 230(26.20%), RESERVE: 264(30.07%)
job_753: TOTAL: 800, ACCEPT: 396(49.50%), REJECT: 188(23.50%), RESERVE: 216(27.00%)
job_754: TOTAL: 1062, ACCEPT: 459(43.22%), REJECT: 293(27.59%), RESERVE: 310(29.19%)
job_755: TOTAL: 530, ACCEPT: 234(44.15%), REJECT: 155(29.25%), RESERVE: 141(26.60%)
job_756: TOTAL: 126, ACCEPT: 24(19.05%), REJECT: 43(34.13%), RESERVE: 59(46.83%)
job_757: TOTAL: 460, ACCEPT: 200(43.48%), REJECT: 101(21.96%), RESERVE: 159(34.57%)
job_758: TOTAL: 369, ACCEPT: 311(84.28%), REJECT: 58(15.72%), RESERVE: 0(0.00%)
job_759: TOTAL: 704, ACCEPT: 248(35.23%), REJECT: 215(30.54%), RESERVE: 241(34.23%)
job_760: TOTAL: 559, ACCEPT: 204(36.49%), REJECT: 174(31.13%), RESERVE: 181(32.38%)
job_761: TOTAL: 107, ACCEPT: 59(55.14%), REJECT: 44(41.12%), RESERVE: 4(3.74%)
job_762: TOTAL: 351, ACCEPT: 143(40.74%), REJECT: 87(24.79%), RESERVE: 121(34.47%)
job_763: TOTAL: 1023, ACCEPT: 493(48.19%), REJECT: 222(21.70%), RESERVE: 308(30.11%)
job_764: TOTAL: 813, ACCEPT: 313(38.50%), REJECT: 249(30.63%), RESERVE: 251(30.87%)
job_765: TOTAL: 206, ACCEPT: 91(44.17%), REJECT: 56(27.18%), RESERVE: 59(28.64%)
job_766: TOTAL: 418, ACCEPT: 146(34.93%), REJECT: 132(31.58%), RESERVE: 140(33.49%)
job_767: TOTAL: 263, ACCEPT: 85(32.32%), REJECT: 86(32.70%), RESERVE: 92(34.98%)
job_768: TOTAL: 7235, ACCEPT: 444(6.14%), REJECT: 6690(92.47%), RESERVE: 101(1.40%)
job_769: TOTAL: 950, ACCEPT: 460(48.42%), REJECT: 239(25.16%), RESERVE: 251(26.42%)
job_770: TOTAL: 897, ACCEPT: 372(41.47%), REJECT: 255(28.43%), RESERVE: 270(30.10%)
job_771: TOTAL: 1015, ACCEPT: 458(45.12%), REJECT: 256(25.22%), RESERVE: 301(29.66%)
job_772: TOTAL: 1182, ACCEPT: 475(40.19%), REJECT: 327(27.66%), RESERVE: 380(32.15%)
job_773: TOTAL: 996, ACCEPT: 342(34.34%), REJECT: 329(33.03%), RESERVE: 325(32.63%)
job_774: TOTAL: 1195, ACCEPT: 469(39.25%), REJECT: 339(28.37%), RESERVE: 387(32.38%)
job_775: TOTAL: 1008, ACCEPT: 370(36.71%), REJECT: 297(29.46%), RESERVE: 341(33.83%)
job_776: TOTAL: 630, ACCEPT: 329(52.22%), REJECT: 149(23.65%), RESERVE: 152(24.13%)
job_777: TOTAL: 347, ACCEPT: 150(43.23%), REJECT: 97(27.95%), RESERVE: 100(28.82%)
job_778: TOTAL: 340, ACCEPT: 130(38.24%), REJECT: 101(29.71%), RESERVE: 109(32.06%)
job_779: TOTAL: 705, ACCEPT: 358(50.78%), REJECT: 163(23.12%), RESERVE: 184(26.10%)
job_780: TOTAL: 985, ACCEPT: 416(42.23%), REJECT: 262(26.60%), RESERVE: 307(31.17%)
job_781: TOTAL: 743, ACCEPT: 271(36.47%), REJECT: 226(30.42%), RESERVE: 246(33.11%)
job_782: TOTAL: 367, ACCEPT: 311(84.74%), REJECT: 56(15.26%), RESERVE: 0(0.00%)
job_783: TOTAL: 78, ACCEPT: 12(15.38%), REJECT: 35(44.87%), RESERVE: 31(39.74%)
job_784: TOTAL: 1029, ACCEPT: 392(38.10%), REJECT: 320(31.10%), RESERVE: 317(30.81%)
job_785: TOTAL: 934, ACCEPT: 402(43.04%), REJECT: 249(26.66%), RESERVE: 283(30.30%)
job_786: TOTAL: 881, ACCEPT: 354(40.18%), REJECT: 259(29.40%), RESERVE: 268(30.42%)
job_787: TOTAL: 203, ACCEPT: 78(38.42%), REJECT: 86(42.36%), RESERVE: 39(19.21%)
job_788: TOTAL: 229, ACCEPT: 95(41.48%), REJECT: 52(22.71%), RESERVE: 82(35.81%)
job_789: TOTAL: 799, ACCEPT: 400(50.06%), REJECT: 211(26.41%), RESERVE: 188(23.53%)
job_790: TOTAL: 961, ACCEPT: 375(39.02%), REJECT: 250(26.01%), RESERVE: 336(34.96%)
job_791: TOTAL: 284, ACCEPT: 181(63.73%), REJECT: 42(14.79%), RESERVE: 61(21.48%)
job_792: TOTAL: 1117, ACCEPT: 492(44.05%), REJECT: 330(29.54%), RESERVE: 295(26.41%)
job_793: TOTAL: 823, ACCEPT: 266(32.32%), REJECT: 284(34.51%), RESERVE: 273(33.17%)
job_794: TOTAL: 747, ACCEPT: 314(42.03%), REJECT: 190(25.44%), RESERVE: 243(32.53%)
job_795: TOTAL: 268, ACCEPT: 65(24.25%), REJECT: 105(39.18%), RESERVE: 98(36.57%)
job_796: TOTAL: 560, ACCEPT: 201(35.89%), REJECT: 176(31.43%), RESERVE: 183(32.68%)
job_797: TOTAL: 183, ACCEPT: 82(44.81%), REJECT: 43(23.50%), RESERVE: 58(31.69%)
job_798: TOTAL: 279, ACCEPT: 92(32.97%), REJECT: 98(35.13%), RESERVE: 89(31.90%)
job_799: TOTAL: 262, ACCEPT: 105(40.08%), REJECT: 78(29.77%), RESERVE: 79(30.15%)
job_800: TOTAL: 377, ACCEPT: 164(43.50%), REJECT: 110(29.18%), RESERVE: 103(27.32%)
job_801: TOTAL: 557, ACCEPT: 213(38.24%), REJECT: 172(30.88%), RESERVE: 172(30.88%)
job_802: TOTAL: 1147, ACCEPT: 465(40.54%), REJECT: 313(27.29%), RESERVE: 369(32.17%)
job_803: TOTAL: 625, ACCEPT: 197(31.52%), REJECT: 214(34.24%), RESERVE: 214(34.24%)
job_804: TOTAL: 1151, ACCEPT: 431(37.45%), REJECT: 503(43.70%), RESERVE: 217(18.85%)
job_805: TOTAL: 1236, ACCEPT: 492(39.81%), REJECT: 354(28.64%), RESERVE: 390(31.55%)
job_806: TOTAL: 680, ACCEPT: 267(39.26%), REJECT: 204(30.00%), RESERVE: 209(30.74%)
job_807: TOTAL: 788, ACCEPT: 379(48.10%), REJECT: 220(27.92%), RESERVE: 189(23.98%)
job_808: TOTAL: 265, ACCEPT: 181(68.30%), REJECT: 26(9.81%), RESERVE: 58(21.89%)
job_809: TOTAL: 184, ACCEPT: 58(31.52%), REJECT: 64(34.78%), RESERVE: 62(33.70%)
job_810: TOTAL: 496, ACCEPT: 201(40.52%), REJECT: 151(30.44%), RESERVE: 144(29.03%)
job_811: TOTAL: 2403, ACCEPT: 335(13.94%), REJECT: 1866(77.65%), RESERVE: 202(8.41%)
job_812: TOTAL: 588, ACCEPT: 273(46.43%), REJECT: 140(23.81%), RESERVE: 175(29.76%)
job_813: TOTAL: 1052, ACCEPT: 387(36.79%), REJECT: 327(31.08%), RESERVE: 338(32.13%)
job_814: TOTAL: 1124, ACCEPT: 468(41.64%), REJECT: 309(27.49%), RESERVE: 347(30.87%)
job_815: TOTAL: 1151, ACCEPT: 452(39.27%), REJECT: 327(28.41%), RESERVE: 372(32.32%)
job_816: TOTAL: 1370, ACCEPT: 480(35.04%), REJECT: 473(34.53%), RESERVE: 417(30.44%)
job_817: TOTAL: 1116, ACCEPT: 463(41.49%), REJECT: 309(27.69%), RESERVE: 344(30.82%)
job_818: TOTAL: 98, ACCEPT: 64(65.31%), REJECT: 12(12.24%), RESERVE: 22(22.45%)
job_819: TOTAL: 1181, ACCEPT: 485(41.07%), REJECT: 330(27.94%), RESERVE: 366(30.99%)
job_820: TOTAL: 276, ACCEPT: 71(25.72%), REJECT: 138(50.00%), RESERVE: 67(24.28%)
job_821: TOTAL: 1087, ACCEPT: 367(33.76%), REJECT: 362(33.30%), RESERVE: 358(32.93%)
job_822: TOTAL: 586, ACCEPT: 249(42.49%), REJECT: 140(23.89%), RESERVE: 197(33.62%)
job_823: TOTAL: 871, ACCEPT: 335(38.46%), REJECT: 251(28.82%), RESERVE: 285(32.72%)
job_824: TOTAL: 101, ACCEPT: 41(40.59%), REJECT: 44(43.56%), RESERVE: 16(15.84%)
job_825: TOTAL: 139, ACCEPT: 34(24.46%), REJECT: 72(51.80%), RESERVE: 33(23.74%)
job_826: TOTAL: 810, ACCEPT: 468(57.78%), REJECT: 146(18.02%), RESERVE: 196(24.20%)
job_827: TOTAL: 442, ACCEPT: 193(43.67%), REJECT: 134(30.32%), RESERVE: 115(26.02%)
job_828: TOTAL: 45, ACCEPT: 6(13.33%), REJECT: 39(86.67%), RESERVE: 0(0.00%)
job_829: TOTAL: 74, ACCEPT: 43(58.11%), REJECT: 31(41.89%), RESERVE: 0(0.00%)
job_830: TOTAL: 380, ACCEPT: 200(52.63%), REJECT: 73(19.21%), RESERVE: 107(28.16%)
job_831: TOTAL: 465, ACCEPT: 197(42.37%), REJECT: 140(30.11%), RESERVE: 128(27.53%)
job_832: TOTAL: 298, ACCEPT: 49(16.44%), REJECT: 146(48.99%), RESERVE: 103(34.56%)
job_833: TOTAL: 44, ACCEPT: 26(59.09%), REJECT: 18(40.91%), RESERVE: 0(0.00%)
job_834: TOTAL: 176, ACCEPT: 39(22.16%), REJECT: 99(56.25%), RESERVE: 38(21.59%)
job_835: TOTAL: 1030, ACCEPT: 400(38.83%), REJECT: 298(28.93%), RESERVE: 332(32.23%)
job_836: TOTAL: 889, ACCEPT: 344(38.70%), REJECT: 238(26.77%), RESERVE: 307(34.53%)
job_837: TOTAL: 854, ACCEPT: 333(38.99%), REJECT: 266(31.15%), RESERVE: 255(29.86%)
job_838: TOTAL: 195, ACCEPT: 164(84.10%), REJECT: 18(9.23%), RESERVE: 13(6.67%)
job_839: TOTAL: 492, ACCEPT: 250(50.81%), REJECT: 100(20.33%), RESERVE: 142(28.86%)
job_840: TOTAL: 230, ACCEPT: 133(57.83%), REJECT: 51(22.17%), RESERVE: 46(20.00%)
job_841: TOTAL: 571, ACCEPT: 232(40.63%), REJECT: 143(25.04%), RESERVE: 196(34.33%)
job_842: TOTAL: 570, ACCEPT: 211(37.02%), REJECT: 163(28.60%), RESERVE: 196(34.39%)
job_843: TOTAL: 1185, ACCEPT: 390(32.91%), REJECT: 422(35.61%), RESERVE: 373(31.48%)
job_844: TOTAL: 346, ACCEPT: 128(36.99%), REJECT: 115(33.24%), RESERVE: 103(29.77%)
job_845: TOTAL: 684, ACCEPT: 323(47.22%), REJECT: 176(25.73%), RESERVE: 185(27.05%)
job_846: TOTAL: 898, ACCEPT: 356(39.64%), REJECT: 216(24.05%), RESERVE: 326(36.30%)
job_847: TOTAL: 862, ACCEPT: 410(47.56%), REJECT: 203(23.55%), RESERVE: 249(28.89%)
job_848: TOTAL: 1013, ACCEPT: 357(35.24%), REJECT: 332(32.77%), RESERVE: 324(31.98%)
job_849: TOTAL: 364, ACCEPT: 269(73.90%), REJECT: 95(26.10%), RESERVE: 0(0.00%)
job_850: TOTAL: 564, ACCEPT: 205(36.35%), REJECT: 186(32.98%), RESERVE: 173(30.67%)
job_851: TOTAL: 1310, ACCEPT: 297(22.67%), REJECT: 912(69.62%), RESERVE: 101(7.71%)
job_852: TOTAL: 259, ACCEPT: 127(49.03%), REJECT: 59(22.78%), RESERVE: 73(28.19%)
job_853: TOTAL: 76, ACCEPT: 51(67.11%), REJECT: 25(32.89%), RESERVE: 0(0.00%)
job_854: TOTAL: 827, ACCEPT: 370(44.74%), REJECT: 216(26.12%), RESERVE: 241(29.14%)
job_855: TOTAL: 195, ACCEPT: 140(71.79%), REJECT: 55(28.21%), RESERVE: 0(0.00%)
job_856: TOTAL: 557, ACCEPT: 232(41.65%), REJECT: 112(20.11%), RESERVE: 213(38.24%)
job_857: TOTAL: 341, ACCEPT: 129(37.83%), REJECT: 111(32.55%), RESERVE: 101(29.62%)
job_858: TOTAL: 401, ACCEPT: 157(39.15%), REJECT: 124(30.92%), RESERVE: 120(29.93%)
job_859: TOTAL: 540, ACCEPT: 189(35.00%), REJECT: 182(33.70%), RESERVE: 169(31.30%)
job_860: TOTAL: 707, ACCEPT: 341(48.23%), REJECT: 183(25.88%), RESERVE: 183(25.88%)
job_861: TOTAL: 991, ACCEPT: 359(36.23%), REJECT: 388(39.15%), RESERVE: 244(24.62%)
job_862: TOTAL: 971, ACCEPT: 496(51.08%), REJECT: 217(22.35%), RESERVE: 258(26.57%)
job_863: TOTAL: 290, ACCEPT: 71(24.48%), REJECT: 120(41.38%), RESERVE: 99(34.14%)
job_864: TOTAL: 485, ACCEPT: 258(53.20%), REJECT: 126(25.98%), RESERVE: 101(20.82%)
job_865: TOTAL: 517, ACCEPT: 203(39.26%), REJECT: 155(29.98%), RESERVE: 159(30.75%)
job_866: TOTAL: 1270, ACCEPT: 497(39.13%), REJECT: 372(29.29%), RESERVE: 401(31.57%)
job_867: TOTAL: 1891, ACCEPT: 168(8.88%), REJECT: 1623(85.83%), RESERVE: 100(5.29%)
job_868: TOTAL: 856, ACCEPT: 323(37.73%), REJECT: 261(30.49%), RESERVE: 272(31.78%)
job_869: TOTAL: 665, ACCEPT: 198(29.77%), REJECT: 230(34.59%), RESERVE: 237(35.64%)
job_870: TOTAL: 790, ACCEPT: 376(47.59%), REJECT: 177(22.41%), RESERVE: 237(30.00%)
job_871: TOTAL: 743, ACCEPT: 270(36.34%), REJECT: 223(30.01%), RESERVE: 250(33.65%)
job_872: TOTAL: 1009, ACCEPT: 388(38.45%), REJECT: 260(25.77%), RESERVE: 361(35.78%)
job_873: TOTAL: 109, ACCEPT: 49(44.95%), REJECT: 44(40.37%), RESERVE: 16(14.68%)
job_874: TOTAL: 963, ACCEPT: 378(39.25%), REJECT: 305(31.67%), RESERVE: 280(29.08%)
job_875: TOTAL: 110, ACCEPT: 72(65.45%), REJECT: 36(32.73%), RESERVE: 2(1.82%)
job_876: TOTAL: 1034, ACCEPT: 410(39.65%), REJECT: 311(30.08%), RESERVE: 313(30.27%)
job_877: TOTAL: 944, ACCEPT: 473(50.11%), REJECT: 198(20.97%), RESERVE: 273(28.92%)
job_878: TOTAL: 1005, ACCEPT: 410(40.80%), REJECT: 286(28.46%), RESERVE: 309(30.75%)
job_879: TOTAL: 694, ACCEPT: 309(44.52%), REJECT: 183(26.37%), RESERVE: 202(29.11%)
job_880: TOTAL: 925, ACCEPT: 390(42.16%), REJECT: 251(27.14%), RESERVE: 284(30.70%)
job_881: TOTAL: 710, ACCEPT: 218(30.70%), REJECT: 262(36.90%), RESERVE: 230(32.39%)
job_882: TOTAL: 41, ACCEPT: 37(90.24%), REJECT: 4(9.76%), RESERVE: 0(0.00%)
job_883: TOTAL: 987, ACCEPT: 431(43.67%), REJECT: 267(27.05%), RESERVE: 289(29.28%)
job_884: TOTAL: 721, ACCEPT: 224(31.07%), REJECT: 256(35.51%), RESERVE: 241(33.43%)
job_885: TOTAL: 491, ACCEPT: 282(57.43%), REJECT: 65(13.24%), RESERVE: 144(29.33%)
job_886: TOTAL: 304, ACCEPT: 138(45.39%), REJECT: 83(27.30%), RESERVE: 83(27.30%)
job_887: TOTAL: 106, ACCEPT: 42(39.62%), REJECT: 17(16.04%), RESERVE: 47(44.34%)
job_888: TOTAL: 588, ACCEPT: 242(41.16%), REJECT: 146(24.83%), RESERVE: 200(34.01%)
job_889: TOTAL: 272, ACCEPT: 80(29.41%), REJECT: 90(33.09%), RESERVE: 102(37.50%)
job_890: TOTAL: 142, ACCEPT: 40(28.17%), REJECT: 74(52.11%), RESERVE: 28(19.72%)
job_891: TOTAL: 746, ACCEPT: 335(44.91%), REJECT: 197(26.41%), RESERVE: 214(28.69%)
job_892: TOTAL: 146, ACCEPT: 126(86.30%), REJECT: 6(4.11%), RESERVE: 14(9.59%)
job_893: TOTAL: 652, ACCEPT: 383(58.74%), REJECT: 74(11.35%), RESERVE: 195(29.91%)
job_894: TOTAL: 302, ACCEPT: 216(71.52%), REJECT: 86(28.48%), RESERVE: 0(0.00%)
job_895: TOTAL: 136, ACCEPT: 99(72.79%), REJECT: 3(2.21%), RESERVE: 34(25.00%)
job_896: TOTAL: 1126, ACCEPT: 432(38.37%), REJECT: 324(28.77%), RESERVE: 370(32.86%)
job_897: TOTAL: 487, ACCEPT: 256(52.57%), REJECT: 108(22.18%), RESERVE: 123(25.26%)
job_898: TOTAL: 551, ACCEPT: 244(44.28%), REJECT: 146(26.50%), RESERVE: 161(29.22%)
job_899: TOTAL: 82, ACCEPT: 10(12.20%), REJECT: 72(87.80%), RESERVE: 0(0.00%)
job_900: TOTAL: 221, ACCEPT: 47(21.27%), REJECT: 87(39.37%), RESERVE: 87(39.37%)
job_901: TOTAL: 925, ACCEPT: 343(37.08%), REJECT: 275(29.73%), RESERVE: 307(33.19%)
job_902: TOTAL: 1340, ACCEPT: 467(34.85%), REJECT: 419(31.27%), RESERVE: 454(33.88%)
job_903: TOTAL: 1038, ACCEPT: 462(44.51%), REJECT: 267(25.72%), RESERVE: 309(29.77%)
job_904: TOTAL: 393, ACCEPT: 178(45.29%), REJECT: 51(12.98%), RESERVE: 164(41.73%)
job_905: TOTAL: 1014, ACCEPT: 467(46.06%), REJECT: 261(25.74%), RESERVE: 286(28.21%)
job_906: TOTAL: 236, ACCEPT: 36(15.25%), REJECT: 102(43.22%), RESERVE: 98(41.53%)
job_907: TOTAL: 811, ACCEPT: 337(41.55%), REJECT: 227(27.99%), RESERVE: 247(30.46%)
job_908: TOTAL: 497, ACCEPT: 248(49.90%), REJECT: 107(21.53%), RESERVE: 142(28.57%)
job_909: TOTAL: 561, ACCEPT: 255(45.45%), REJECT: 160(28.52%), RESERVE: 146(26.02%)
job_910: TOTAL: 355, ACCEPT: 67(18.87%), REJECT: 177(49.86%), RESERVE: 111(31.27%)
job_911: TOTAL: 317, ACCEPT: 115(36.28%), REJECT: 90(28.39%), RESERVE: 112(35.33%)
job_912: TOTAL: 983, ACCEPT: 372(37.84%), REJECT: 310(31.54%), RESERVE: 301(30.62%)
job_913: TOTAL: 326, ACCEPT: 263(80.67%), REJECT: 10(3.07%), RESERVE: 53(16.26%)
job_914: TOTAL: 55, ACCEPT: 16(29.09%), REJECT: 27(49.09%), RESERVE: 12(21.82%)
job_915: TOTAL: 1035, ACCEPT: 364(35.17%), REJECT: 339(32.75%), RESERVE: 332(32.08%)
job_916: TOTAL: 359, ACCEPT: 132(36.77%), REJECT: 95(26.46%), RESERVE: 132(36.77%)
job_917: TOTAL: 951, ACCEPT: 397(41.75%), REJECT: 264(27.76%), RESERVE: 290(30.49%)
job_918: TOTAL: 799, ACCEPT: 419(52.44%), REJECT: 184(23.03%), RESERVE: 196(24.53%)
job_919: TOTAL: 1118, ACCEPT: 333(29.79%), REJECT: 553(49.46%), RESERVE: 232(20.75%)
job_920: TOTAL: 81, ACCEPT: 29(35.80%), REJECT: 45(55.56%), RESERVE: 7(8.64%)
job_921: TOTAL: 1240, ACCEPT: 428(34.52%), REJECT: 375(30.24%), RESERVE: 437(35.24%)
job_922: TOTAL: 473, ACCEPT: 207(43.76%), REJECT: 119(25.16%), RESERVE: 147(31.08%)
job_923: TOTAL: 14, ACCEPT: 2(14.29%), REJECT: 12(85.71%), RESERVE: 0(0.00%)
job_924: TOTAL: 1137, ACCEPT: 450(39.58%), REJECT: 352(30.96%), RESERVE: 335(29.46%)
job_925: TOTAL: 980, ACCEPT: 456(46.53%), REJECT: 253(25.82%), RESERVE: 271(27.65%)
job_926: TOTAL: 469, ACCEPT: 199(42.43%), REJECT: 91(19.40%), RESERVE: 179(38.17%)
job_927: TOTAL: 1205, ACCEPT: 478(39.67%), REJECT: 357(29.63%), RESERVE: 370(30.71%)
job_928: TOTAL: 41, ACCEPT: 7(17.07%), REJECT: 34(82.93%), RESERVE: 0(0.00%)
job_929: TOTAL: 673, ACCEPT: 287(42.64%), REJECT: 213(31.65%), RESERVE: 173(25.71%)
job_930: TOTAL: 1645, ACCEPT: 481(29.24%), REJECT: 806(49.00%), RESERVE: 358(21.76%)
job_931: TOTAL: 884, ACCEPT: 331(37.44%), REJECT: 270(30.54%), RESERVE: 283(32.01%)
job_932: TOTAL: 1318, ACCEPT: 458(34.75%), REJECT: 398(30.20%), RESERVE: 462(35.05%)
job_933: TOTAL: 444, ACCEPT: 198(44.59%), REJECT: 117(26.35%), RESERVE: 129(29.05%)
job_934: TOTAL: 877, ACCEPT: 417(47.55%), REJECT: 211(24.06%), RESERVE: 249(28.39%)
job_935: TOTAL: 478, ACCEPT: 179(37.45%), REJECT: 147(30.75%), RESERVE: 152(31.80%)
job_936: TOTAL: 666, ACCEPT: 307(46.10%), REJECT: 168(25.23%), RESERVE: 191(28.68%)
job_937: TOTAL: 906, ACCEPT: 320(35.32%), REJECT: 295(32.56%), RESERVE: 291(32.12%)
job_938: TOTAL: 132, ACCEPT: 60(45.45%), REJECT: 68(51.52%), RESERVE: 4(3.03%)
job_939: TOTAL: 792, ACCEPT: 311(39.27%), REJECT: 240(30.30%), RESERVE: 241(30.43%)
job_940: TOTAL: 607, ACCEPT: 247(40.69%), REJECT: 185(30.48%), RESERVE: 175(28.83%)
job_941: TOTAL: 1065, ACCEPT: 484(45.45%), REJECT: 268(25.16%), RESERVE: 313(29.39%)
job_942: TOTAL: 796, ACCEPT: 302(37.94%), REJECT: 209(26.26%), RESERVE: 285(35.80%)
job_943: TOTAL: 504, ACCEPT: 192(38.10%), REJECT: 174(34.52%), RESERVE: 138(27.38%)
job_944: TOTAL: 363, ACCEPT: 286(78.79%), REJECT: 36(9.92%), RESERVE: 41(11.29%)
job_945: TOTAL: 788, ACCEPT: 349(44.29%), REJECT: 196(24.87%), RESERVE: 243(30.84%)
job_946: TOTAL: 116, ACCEPT: 36(31.03%), REJECT: 56(48.28%), RESERVE: 24(20.69%)
job_947: TOTAL: 293, ACCEPT: 91(31.06%), REJECT: 82(27.99%), RESERVE: 120(40.96%)
job_948: TOTAL: 3437, ACCEPT: 13(0.38%), REJECT: 3323(96.68%), RESERVE: 101(2.94%)
job_949: TOTAL: 426, ACCEPT: 159(37.32%), REJECT: 144(33.80%), RESERVE: 123(28.87%)
job_950: TOTAL: 790, ACCEPT: 431(54.56%), REJECT: 184(23.29%), RESERVE: 175(22.15%)
job_951: TOTAL: 316, ACCEPT: 154(48.73%), REJECT: 77(24.37%), RESERVE: 85(26.90%)
job_952: TOTAL: 632, ACCEPT: 199(31.49%), REJECT: 243(38.45%), RESERVE: 190(30.06%)
job_953: TOTAL: 662, ACCEPT: 273(41.24%), REJECT: 193(29.15%), RESERVE: 196(29.61%)
job_954: TOTAL: 347, ACCEPT: 209(60.23%), REJECT: 38(10.95%), RESERVE: 100(28.82%)
job_955: TOTAL: 491, ACCEPT: 168(34.22%), REJECT: 157(31.98%), RESERVE: 166(33.81%)
job_956: TOTAL: 762, ACCEPT: 263(34.51%), REJECT: 240(31.50%), RESERVE: 259(33.99%)
job_957: TOTAL: 947, ACCEPT: 473(49.95%), REJECT: 201(21.22%), RESERVE: 273(28.83%)
job_958: TOTAL: 1227, ACCEPT: 500(40.75%), REJECT: 358(29.18%), RESERVE: 369(30.07%)
job_959: TOTAL: 507, ACCEPT: 192(37.87%), REJECT: 161(31.76%), RESERVE: 154(30.37%)
job_960: TOTAL: 164, ACCEPT: 133(81.10%), REJECT: 7(4.27%), RESERVE: 24(14.63%)
job_961: TOTAL: 1368, ACCEPT: 470(34.36%), REJECT: 483(35.31%), RESERVE: 415(30.34%)
job_962: TOTAL: 256, ACCEPT: 26(10.16%), REJECT: 129(50.39%), RESERVE: 101(39.45%)
job_963: TOTAL: 1283, ACCEPT: 463(36.09%), REJECT: 358(27.90%), RESERVE: 462(36.01%)
job_964: TOTAL: 586, ACCEPT: 339(57.85%), REJECT: 104(17.75%), RESERVE: 143(24.40%)
job_965: TOTAL: 1048, ACCEPT: 419(39.98%), REJECT: 295(28.15%), RESERVE: 334(31.87%)
job_966: TOTAL: 948, ACCEPT: 347(36.60%), REJECT: 269(28.38%), RESERVE: 332(35.02%)
job_967: TOTAL: 285, ACCEPT: 82(28.77%), REJECT: 98(34.39%), RESERVE: 105(36.84%)
job_968: TOTAL: 1098, ACCEPT: 402(36.61%), REJECT: 338(30.78%), RESERVE: 358(32.60%)
job_969: TOTAL: 629, ACCEPT: 234(37.20%), REJECT: 184(29.25%), RESERVE: 211(33.55%)
job_970: TOTAL: 619, ACCEPT: 189(30.53%), REJECT: 203(32.79%), RESERVE: 227(36.67%)
job_971: TOTAL: 980, ACCEPT: 330(33.67%), REJECT: 506(51.63%), RESERVE: 144(14.69%)
job_972: TOTAL: 1084, ACCEPT: 390(35.98%), REJECT: 348(32.10%), RESERVE: 346(31.92%)
job_973: TOTAL: 534, ACCEPT: 295(55.24%), REJECT: 103(19.29%), RESERVE: 136(25.47%)
job_974: TOTAL: 1720, ACCEPT: 416(24.19%), REJECT: 853(49.59%), RESERVE: 451(26.22%)
job_975: TOTAL: 336, ACCEPT: 140(41.67%), REJECT: 99(29.46%), RESERVE: 97(28.87%)
job_976: TOTAL: 1225, ACCEPT: 454(37.06%), REJECT: 346(28.24%), RESERVE: 425(34.69%)
job_977: TOTAL: 698, ACCEPT: 319(45.70%), REJECT: 176(25.21%), RESERVE: 203(29.08%)
job_978: TOTAL: 979, ACCEPT: 329(33.61%), REJECT: 303(30.95%), RESERVE: 347(35.44%)
job_979: TOTAL: 662, ACCEPT: 327(49.40%), REJECT: 182(27.49%), RESERVE: 153(23.11%)
job_980: TOTAL: 76, ACCEPT: 19(25.00%), REJECT: 37(48.68%), RESERVE: 20(26.32%)
job_981: TOTAL: 103, ACCEPT: 72(69.90%), REJECT: 29(28.16%), RESERVE: 2(1.94%)
job_982: TOTAL: 492, ACCEPT: 205(41.67%), REJECT: 157(31.91%), RESERVE: 130(26.42%)
job_983: TOTAL: 14, ACCEPT: 11(78.57%), REJECT: 3(21.43%), RESERVE: 0(0.00%)
job_984: TOTAL: 286, ACCEPT: 87(30.42%), REJECT: 100(34.97%), RESERVE: 99(34.62%)
job_985: TOTAL: 444, ACCEPT: 177(39.86%), REJECT: 111(25.00%), RESERVE: 156(35.14%)
job_986: TOTAL: 1024, ACCEPT: 389(37.99%), REJECT: 295(28.81%), RESERVE: 340(33.20%)
job_987: TOTAL: 878, ACCEPT: 439(50.00%), REJECT: 195(22.21%), RESERVE: 244(27.79%)
job_988: TOTAL: 747, ACCEPT: 344(46.05%), REJECT: 199(26.64%), RESERVE: 204(27.31%)
job_989: TOTAL: 512, ACCEPT: 167(32.62%), REJECT: 190(37.11%), RESERVE: 155(30.27%)
